id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1235063485286846465,"@Stranger_Things All I want is for Steve to be okay. 
If Steve dies, we riot.",Stranger_Things All I want Steve okay If Steve dies riot,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,Iowa,
1235063373735161856,@__kelllyyy Stranger Things 👍👍,__kelllyyy Stranger Things,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Bellevue, OH",
1235063351232749569,"prayer circle:

                    🕯      🕯
           🕯                        🕯
               will byers comes… https://t.co/PKSWhcpaa3",prayer circle byers comes,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,they,
1235063325966258177,"@Notgiamatti I fon’t think she will be, but stranger things have happened! Like every 5 minutes, stranger things happen.",Notgiamatti I fon think stranger things happened Like every 5 minutes stranger things happen,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,CT/NYC/PEI/LA,
1235063265581027328,Stranger Things | La desaparición de Will Byers | Netflix España https://t.co/h8z1xZ7rJ3 via @YouTube,Stranger Things La desaparici n de Will Byers Netflix Espa via YouTube,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,ca,Chile,
1235063245662109696,@Stranger_Things Do we have a rough estimate on when the new season comes out?,Stranger_Things Do rough estimate new season comes,"Sentiment(polarity=0.018181818181818174, subjectivity=0.42727272727272725)",0.018181818181818174,0.42727272727272725,en,"Texas, USA, Houston ",
1235063217044373504,@Stranger_Things @finnfilms Give me more Finn plz🙏🏻🙏🏻🙏🏻,Stranger_Things finnfilms Give Finn plz,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1235063187390615553,@Stranger_Things @finnfilms 😍😍😍👍👍👍👍,Stranger_Things find films,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,und,,
1235063013247315970,"stranger things season 3 (2019)
pulp fiction (1994)
okja (2017) https://t.co/6p8QPAIaap",stranger things season 3 2019 pulp fiction 1994 okja 2017,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1235062878798921730,"@warbotxclan Stranger things 
Hamtaro 
Insatiable
Naruto 
Elite 

Friends
OA
Riverdale 
El chapo
Vikingos
El club 
Rick y morty",warbotxclan Stranger things Hamtaro Insatiable Naruto Elite Friends OA Riverdale El chapo Vikingos El club Rick morty,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,ꪀꫀꪜꫀ𝕣ꪶꪖꪀᦔ,
